,text,summary
112,"Alabama QB Jalen Milroe, who started two games before being benched vs. USF, has earned the starting nod for the SEC opener vs. Ole Miss.",Jalen Milroe Starts SEC Opener
113,"A company advertising a competition to win a £2,000 luxury holiday to Ireland have blundered by using a photo of a castle in Scotland. And the mistake has been met with anger by officials at popular tourist hotspot north of the border. The contest to win a trip to the Emerald Isle is being promoted with a picture of Eilean Donan Castle, which is in the western Highlands  and seen by many as one of Scotland's most famous castle. WomenFreebies.co.uk used a photo of Scottish Castle Eilean Donan to advertise a competition for Ireland . Unsurprisingly, the use of the Scottish castle advertising a holiday to Ireland didn't go down too well... The Eilean Donan Castle officials had some words of advice for the website WomenFreebies.co.uk . The image was posted to the Facebook page of WomenFreebies.co.uk with the caption 'Like if you'd love to visit Ireland'. The page has almost 800,000 followers and thousands liked the post, but eagle-eyed Scots spotted the gaffe and pointed out the mistake. Nikki Thompson, 63, of Ardrishaig in Argyll, said: 'I laughed to myself. I knew right away that it was the Eilean Donan - it's not in Ireland. 'It's obviously the wrong castle in the wrong place. 'If you are going to advertise a luxury holiday in Ireland, you should at least have a picture of Ireland, you would think. 'I actually messaged them but they never got back to me.' Eilean Donan Castle's website describes the site as 'one of the most iconic images of Scotland . The first fortified castle was built in the mid 13th century and stood guard over the lands of Kintail. And officials at the castle waded into the topic when they posted their own response on the competition page by writing: 'We are NOT impressed at all!!!'. On the castle's official Facebook page they posted some advice for the competition organisers by writing: 'Somebody somewhere REALLY needs a Geography lesson! And fast!!' Also on Facebook, Martin Davis wrote: 'If you want to visit THIS castle, then you'd have to be in Scotland! Eilean Donan Castle in the Highlands!' Kathryn Seddon added: 'Sounds nice, but it's a shame they can't show a picture of Ireland and not Eilean Donan Castle in the beautiful Scottish Highlands!' The administrators of the page have not responded to a request for comment. Eilean Donan Castle's website describes the site as 'one of the most iconic images of Scotland, 'recognised all around the world,' and that the castle is now 'one of the most visited and important attractions in the Scottish highlands.' The first fortified castle was built in the mid 13th century and stood guard over the lands of Kintail. Since then, at least four different versions of the castle have been built and re-built as the feudal history of Scotland unfolded through the centuries. The beautiful castle is now one of the most visited and important attractions in the Scottish highlands .","The contest to win a trip to Ireland using a picture of Eilean Donan Castle .
Eagle-eyed Scots spotted the gaffe and pointed out the mistake .
One Facebook user writes: 'Sounds nice, but it's a shame they can't show a picture of Ireland'"
114,"""After seeing all the unappreciated invisible effort my mother puts in for us, I could not imagine that being my life.""",Recognizing Mother's Unseen Labor
115,"A Dutch mother has abducted two of her four children and taken them to join militants fighting for the Islamic State terrorist organisation in Syria. The unnamed 32-year-old  Chechen national had been living in Maastricht in the southern Netherlands before taking her young son and daughter to ISIS' de facto capital Raqqa. The father of the missing children named the pair as Luca, seven, and his sister Aysha, eight, and said they had been taken without his consent. The woman's two other children are believed to have been handed over to a relative before she left to join the terror group. Abducted: The father of the missing children named the pair as 'Luca', seven, (left) and his sister 'Aysha', eight, (right) and said they had been taken without his consent . The missing woman, who has not yet been named, fled the Netherlands with two of her children last October, the Dutch prosecution's office confirmed this morning. Snatched: Eight-year-old Dutch girl 'Aysha' was abducted by her mother and taken to join ISIS . It is the first known instance of children in the Netherlands being abducted and taken to join ISIS. According to the Dutch newspaper De Limburger, the children's father had previously reported his estranged wife to the police because he was concerned she was planning to travel to Syria. Officers are said to have questioned the woman several times but she denied having intentions to join ISIS and investigators could find no evidence of concrete travel plans. Shortly afterwards the woman vanished from Maastricht with two of the children, prompting Dutch officials to launch a major alert, leading to an international arrest warrant being issued. Despite this the woman later took to Facebook to declare that she and her two children had arrived in the terrorists' de facto capital Raqqa, having used fake passports to travel across Europe. After making the announcement of their arrival in Raqqa on Facebook last October, nothing has been heard from the trio since. Dutch officials said they had no way of telling whether the group were still alive, with prosecutor Bart den Hartigh declaring the recovery of the children 'impossible' as the Netherlands has no legal relationship with either the Syrian regime or the terror group that controls the city of Raqqa. No place for children: The unnamed 32-year-old Chechen national had been living in Maastricht in the southern Netherlands before taking her young son and daughter to ISIS' de facto capital Raqqa (pictured) The news comes as an 18-year-old man has been arrested at his home in Birmingham on suspicion of preparing to travel to Syria to join the Islamic State. West Midland Police have said the teenager, from the Hodge Hill area of Birmingham, was arrested at around 7am today by officers from the West Midlands Counter Terrorism Unit. It comes the day after it three British teenage jihadists were arrested in Turkey on suspicion of trying to join Islamic State fighters in Syria, in a dramatic security operation. A pair of 17-year-old schoolboys and a 19-year-old man were intercepted in Istanbul after their parents realised they had fled to join the terrorist group. They dialled 999 and British police quickly tipped off their Turkish counterparts. Officials swooped on the group within minutes of their flight touching down in Istanbul. The three were brought back to Britain where they were questioned  on suspicion of preparing acts of terrorism.","Chechen national, 32, took children from home in Maastricht, Netherlands .
Later updated her Facebook page to say trio had arrived in city of Raqqa .
Woman's estranged husband had been concerned about her intentions and had reported her to the police last Autumn .
But she managed to convince officers she had no plans to travel to Syria .
Shortly after she fled the country with her children using fake passports ."
116,"Mets ace Justin Verlander was placed on the injured list with a low grade teres major strain, the team announced.","Verlander Injured, On IL"
117,Mediterranean fast-casual chain Cava is expected to make its market debut on the New York Stock Exchange using the ticker CAVA.,Cava Debuts on NYSE
118,"A Los Angeles judge agreed with the governor's decision to reject parole for a Charles Manson follower imprisoned 43 years for two brutal murders. Bruce Davis' record shows there is 'some evidence' he is dangerous and shouldn't be freed, Superior Court Judge William C. Ryan wrote in a decision filed Wednesday. Davis, 72, was convicted in the 1969 slayings of musician Gary Hinman and stuntman Donald 'Shorty' Shea and sentenced to life in prison in 1972. He was 30 years old at the time. Then and now: Bruce Davis, Charles Manson's former follower (pictured left in 1970 and right in March 2014), has been denied parole after spending 43 years in prison for a double homicide in 1969 . Bloodthirsty: Bruce Davis held Gary Hinman, a friend, at gunpoint while Charles Manson (pictured) sliced his face open with a sword . Davis, who once bragged of cutting Shea's head off, claimed he has turned his life around in prison, earning a doctoral degree in philosophy, becoming religious and ministering to other inmates. He also married a woman he met through the prison ministry, and has a grown daughter. The couple recently divorced. The parole board cited those accomplishments, along with his age and good behavior as reasons to grant him parole in March last year. Gov. Jerry Brown rejected that decision in August, saying factors in his favor were outweighed by the brutality of the killings and Davis' lack of insight into the crimes, which he didn't admit until 2012 after claiming for years to be an innocent bystander. The Manson family planned to rob Hinman, a friend, but killed him after holding him two days because he said he didn't have money. Davis held Hinman at gunpoint while Manson sliced his face open with a sword. About a month later, Davis stabbed Shea, who worked at Spahn Ranch where the family lived. His body was found buried on the property years later. Homicidal maniac: Charles Manson, pictured left in 2011, orchestrated the murders of eight people in 1969, including actress Sharon Tate (right). Davis did not play a part in her slaying . 'Both victims were abused, defiled and mutilated,' Ryan wrote. 'These actions demonstrate the utmost callous disregard for human suffering.' The judge said he gave broad deference to Brown's discretion and that the governor's decision in August didn't amount to cruel or unusual punishment. Davis' lawyer had not seen the decision, but said he would appeal to a higher court. 'I'm stunned. I can't believe he would do that,' attorney Michael Evan Beckman said. 'The judge is wrong.' The parole board has found Davis suitable for release three times, but Brown and former Gov. Arnold Schwarzenegger reversed the decision each time. Steve Grogan, another participant in those murders, was released many years ago after he agreed to lead police to where the bodies were buried on a remote movie ranch in the San Fernando Valley. Captured: Steve Grogan (left) and Bruce Davis (right) enter court to be tried for murder in 1970 . Brainwashed: Manson family murderers Susan Atkins, Patricia Krenwinkle and Leslie van Houton . Davis was not involved in the notorious killings of actress Sharon Tate, the pregnant wife of director Roman Polanski, and six others and was considered a better candidate for release. Manson and three followers, Leslie Van Houten, Patricia Krenwinkel and Charles 'Tex' Watson, remain in prison for life in the Tate killings. Co-defendant Susan Atkins died of cancer behind bars in 2009.","Bruce Davis, 72, was convicted in 1969 slayings of musician Gary Hinman and stuntman Donald 'Shorty' Shea .
California Gov. Jerry Brown rejected parole board's decision to release Davis citing brutality of the killings .
Davis claimed he's changed in prison, earning a PhD and becoming a minister ."
119,"Jordan Sharifi, 17,  confessed to giving a gun to friend Raymond Howell, who killed himself . A teenager who allegedly gave his best friend a gun for protection from bullies has been arrested after the boy used the weapon to kill himself. Jordan Sharifi, 17, was taken into custody on Friday by police in McKinney, Texas, who say he confessed to giving a gun and  ammunition to 14-year-old Raymond Howell, Jr. On Thursday, Raymond was found in a ditch from a self-inflicted gunshot wound. Sharifi discovered Raymond's body in a rain culvert after the boy's mother called to ask him if he'd seen her son, according to an affidavit, the Dallas Morning News reported. When he saw his friend in a fetal position in the ditch, he initially thought he was sleeping and called his name, he told police. But when Raymond failed to respond, Sharifi turned him over and saw blood on his face, and found no pulse, he said. At that point, he noticed the weapon beneath Raymond's body and threw it into a nearby drainage tunnel. Sharifi led police to the scene and they initially thought Raymond had been murdered because they did not find a weapon, the affidavit states. Speaking to police, Sharifi initially denied seeing a weapon but later admitted that he had given the boy the gun and had tried to hide it when he found it beneath his body. Loss: The body of Raymond Howell, Jr., pictured, was found early on Thursday morning a few miles from his school. Sharifi found his friend's body after Raymond's mother told him the boy was missing . Friends: The boys, who became friends after Sharifi moved next door, are pictured together with a friend . On social media, he also indicated that his friend had left him a note before taking his life. The two teenagers became friends after Sharifi moved in with one of Raymond's neighbors. 'No one understands how hard it is to lose someone so close to them, and to have found them before anyone else knew,' Sharifi wrote on Instagram last week. 'But I knew that you wanted me to find you and me to tell your mom and no one else, I will always cherish the letter that you wrote to me, and left for me to find, I love you so much man.' Sharifi, who once attended McKinney Boyd High School with Howell but is no longer enrolled there, allegedly confessed to police that he'd stolen the gun from the family he was staying with. He says he gave Howell the gun to protect himself after he'd gotten into some fights recently. Sharifi was charged with fabricating or tampering with evidence, theft of a firearm and making a firearm accessible to a child. His bond has been set at $300,000. Confessed: Police say Sharifi, pictured left, led them to Howell's body before confessing he stole a gun from a family he was staying with and gave it, along with several rounds of ammunition, to Howell . Discovery: Sharifi says he found Howell's body after he got a call from Howell's mom asking him if he'd seen her son. On social media, he also indicated that the boy had left him a note before taking his life . Howell's devastated parents released a statement on Monday. 'We want to thank our friends, family and the public for the outpouring of support that we have received regarding the loss of our son and brother, Raymond ""Junior"" Howell. 'Even at the tender age of 14, Raymond lived a life of love, strong values and integrity that some people never fully experience... 'Our hope is that it one day allows for a truly meaningful conversation…and more importantly real change for the way we treat others in our schools and throughout our communities.' Friends recalled him as a happy and friendly teenager, but said he had recently asked for a transfer after being bullied by older students, CBS reported last week. 'There were people who didn't like him, but it's life - there's always someone that won't like you,' family friend Aleena Rogers, 16, told the Dallas Morning News. 'But those were very few and far between for him. He was loved by most everyone.' Tragedy: Howell was discovered dead near this rain culvert just a few miles from his high school . School: He was a freshman at McKinney Boyd High but had reportedly asked for a transfer because he was being bullied. The school district said on Monday it has found no evidence he had reported the bullying . She said he was always helping other people and called him 'an amazing guy with a huge heart'. But the high school said it had not found any evidence that the teenager or his parents had contacted administrators with concerns that he was the victim of bullying. The district's anti-bullying policy forbids name-calling, threats, taunting, teasing and assault, the Morning News reported. It also asks students to report bullying to school or district employees. 'The natural inclination is to find blame in these situations,' spokesman Cody Cunningham said on Monday. 'But as of today, we still have not found any reports from the family, from other peers, from teachers, of any potential bullying.' District officials continue to investigate. • For confidential help, call the National Suicide Prevention Lifeline at 1-800-273-8255 or click here . • For confidential support on suicide matters in the UK, call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or click here .","Jordan Sharifi, 17, 'gave Raymond Howell, Jr., 14, a gun and ammunition to protect himself from bullies but Raymond used the gun to take his life'
Sharifi found his friend's body in a rain culvert on Thursday morning 'and threw the gun in a nearby drainage tunnel'
He was arrested by McKinney, Texas police on Friday and charged with theft of a firearm and making a firearm accessible to a child .
Raymond left him a note before he took his life, Sharifi said .
The school district says it has found no evidence that Raymond or his family contacted them about bullying ."
120,"Chronic illness patients often struggle to keep up with medications that need frequent, timely doses. What if a single shot lasted for months?",Single Shot for Chronic Illness
121,"Ronnie O'Sullivan has thrown his name into the mix to replace Jeremy Clarkson as host of Top Gear. The five-time world snooker champion has an affection for cars, and he admitted he would 'love' to be the presenter of the BBC show. O'Sullivan, who begins his second-round match at The Crucible against Matthew Stevens on Saturday, has appeared as a guest on the show in the past. Ronnie O'Sullivan has admitted he would love to be the presenter of Top Gear . The five-time world snooker champion is looking for another title this week at the Crucible . And when asked about replacing Clarkson, he told The Times: 'I'd love to have that job. But whether I'm equipped to do it, I don't know. 'Whether I could co-pilot with someone else, I'd definitely be up for it. I don't know if I'd want to follow in Jeremy's footsteps - I'll let someone else do that and get the sack and then I'll take it after them. I love my cars and that would be the dream job. 'I think Clarkson is brilliant. I'm sure some other TV company will pick him up. He's a bit like me really, if someone doesn't want me, there's always another door that opens. O'Sullivan had some problems with his shoes in the first round, and played for a while in his socks . O'Sullivan beat Craig Steadman 10-3 in the first round and will play Matthew Stevens in the last 16 . O'Sullivan appeared as a guest on the show during the 'star in a reasonably priced car' section . 'It was really good appearing on Top Gear and it's probably one of the best days I have ever had. Hopefully I'll be doing my own car show after this World Championship.' O'Sullivan is searching for his sixth world title this year at the Crucible and beat Craig Steadman 10-3 in the first round.","Ronnie O'Sullivan says he would love to be new Top Gear presenter .
The five-time world snooker champion has an affection for cars .
O'Sullivan has appeared as a guest on the show in the past .
The 39-year-old plays Matthew Stevens in the second round ."
122,New Panthers tight end Hayden Hurst plans on being the starting quarterback's go-to target in 2023.,Hayden Hurst: Go-To Target 2023
123,"(CNN)As a manager at several prominent media outlets, Katharine Zaleski did not understand the demands on working moms and often belittled their work ethic. Then she became a mom, and everything changed. In a widely shared piece this week for Fortune.com, the journalist-turned-startup executive apologizes for disparaging the mothers she worked with in her 20s at the Huffington Post and Washington Post. Zaleski said she committed multiple ""infractions,"" against these women, including scheduling late-afternoon meetings or happy hours without considering that mothers with after-work responsibilities wouldn't be able to attend. She even didn't disagree ""when another female editor said we should hurry up and fire another woman before she 'got pregnant.' "" Now a mother to a young daughter, Zaleski said she was wrong to undervalue mothers' contributions by counting hours logged in the office and not the actual work done. ""I wish I had known five years ago, as a young, childless manager, that mothers are the people you need on your team,"" she wrote. ""There's a saying that 'if you want something done then ask a busy person to do it.' That's exactly why I like working with mothers now."" Zaleski's piece has been shared more than 1,000 times and has been hailed on social media by many commenters who applaud her for seeing the error of her ways. ""Your message is so important and it's about time it was addressed,"" said Heather Bouvier on Twitter. ""THANK YOU for writing this. There are so many people like your then-childless 28-year-old self who need to read it. Seriously, thank you from the bottom of my heart,"" wrote Alice Gomstyn on Facebook. Since the essay was published Tuesday, Zaleski told CNN she's received more than 2,000 emails from readers who admit they've committed similar infractions in the workplace. ""I'm so motivated and thrilled,"" she said.  ""I couldn't be more psyched for the responses."" But not all the responses have been positive. Some people refuse to accept Zaleski's apology and accuse her of borrowing from similar apologetic essays by other new moms. ""This woman has basically stolen another woman's post about her views on mothers with children in the workforce for her own personal gain!!,"" wrote one commenter on Zaleski's essay. Others accuse Zaleski of writing the essay just to promote the new company she co-founded, Power to Fly, an online platform that matches women with technical skills to freelance projects they can do from anywhere. ""This woman & her shameless self-promoting article disgust me. No awareness. No integrity,"" Kitten Holiday said on Twitter. Zaleski said that notion is ""just silly,"" and she's taken a huge risk leaving a stable job to start a company that is a part of the solution. Zaleski said her company, which launched in August, enables women to work from home so that they can ""be valued for their productivity and not time spent sitting in an office or at a bar bonding afterwards."" But some critics say encouraging mothers to work from home only perpetuates a problem. ""I like this article a lot, but wish the solution wasn't to have a company that helps mothers find jobs that keep them tucked away at home, but to change the dominant culture to create better, more supportive workplaces where flexible schedules are encouraged,"" said Suzanne Pekow Carlson on Facebook. Others say they wish Zaleski went further, and instead of only addressing the challenges of the working mother, wished she'd included other caregivers, like dads. ""I hope the convo ... expands beyond just working moms to working dads, folks taking care of sick parents, etc.,"" ABC's Karen Travers said on Twitter. ""I don't understand why we still refuse to acknowledge that our society needs to be more flexible for PARENTS. It is not just the woman's burden,"" said Margaret Weingart Berger on Facebook. And said another commenter on Zaleski's essay, ""If it takes this woman becoming a mother to understand the value of working mothers and have compassion for them, then I guess we can't expect men to understand and have compassion because they will never be able to be mothers themselves."" Zaleski said she finds the criticism ""frustrating,"" but said she refuses to dwell on the negative.  She wants to ""stay focused on helping women find fulfilling work they can do from home."" She said her essay represents her ""own personal experience,"" which happens to mostly involve working with mothers. But she's glad her piece has opened a dialogue and she hopes the conversation continues. Women not supporting women ""is a systemic problem in our society,"" Zaleski said. Serena Markstrom Nugent, posting on Facebook, agreed. ""To the women mad at her (Zaleski) and saying too little too late: She not only had not had kids but was very young and ambitious. In the spirit of not tearing down other women, I would say cheer her on for where she is on in the journey,"" she wrote. ""Still young, still learning, and at least at this point, it appears, part of the solution."" Still other critics suggest the issue isn't as simple as parents versus non-parents in the workplace. Instead, they say, it's about the lack of empathy that exists between colleagues whose circumstances are different from their own. ""Why is it necessary to 'walk in someone's shoes' before we understand their perspective?"" said Ann OConnell on Facebook. ""Until we strive to have understanding and compassion for people regardless of our personal circumstances or life choices, we will remain selfish and self-centered as a whole.""","Katharine Zaleski said she judged working moms before she became one .
Her online essay has sparked widespread discussion on social media .
Zaleski co-founded Power to Fly, which matches stay-at-home moms with technical jobs ."
124,"Dozens of female soldiers have taken part in a beauty parade to mark International Women's Day. The women, from the self-proclaimed Donetsk People's Republic, swapped their combats for floor-length dresses as hundreds of people gathered to admire their natural beauty. The stunning set of photographs captured the nerves backstage as well as the excitement of walking the catwalk. All of the models looked overjoyed after the event and were given flowers to mark the occasion. International Women's Day is on March 8. The first was held in 1911 and thousands of events occur across the world to mark the economic, political and social achievements of women. Glamarous: Dozens of female soldiers have taken part in a beauty parade in Donetsk to mark International Women's Day . Soldiers: The women, from the self-proclaimed Donetsk People's Republic, swapped their combats for floor-length dresses . The stunning gowns feature intricate detailing on the back and range in colour from black to silver to red . Several of the women, who have just had their hair done, peek through a door while they wait for the previous round to finish . The first International Women's Day was held in 1911 and thousands of events take place across the world to mark it . Ukraine's Russian-backed rebel soldiers swapped combat fatigues for high fashion when they took to the catwalk . The soldiers strutted their stuff down a catwalk wearing long gowns - quite different from their usual combats . As well as walking down a catwalk in their ballgowns the women looked beautiful posing in combats and outdoor gear . Combats: As well as beautiful gowns, the women posed in their army uniforms for the camera at the show . Five more women join the stage, showing that their usual uniforms can be equally as flattering . One female soldier, who has just had her hair done, peeks through a door and watches her friends take to the stage . A helper applies make-up to a woman while she makes a quick change into her dress backstage . The soldiers gathered in a changing room with one small mirror and were happy to discuss their outfit choices with each other . A woman in dark green combats clutches a black pair of heels while she waits for her turn to take to the stage . Two girls, from the self-proclaimed Donetsk People's Republic, giggle as they change out of their everyday uniforms . Red seems to be a popular colour when it comes to dresses. One helper uses hairspray to keep a woman's perfect curls in place . Red lipstick matched the pretty red dresses worn by the women soldiers at the fashion show today . Hundreds of photographs were taken throughout the day and all of the women who took part enjoyed posing . Some of the soldiers chose to wear their medals on top of their combats as they gave out flowers . The women were presented with flowers and gifts after strutting their stuff on the catwalk at the show to mark International Women's Day . All of the women who took part in the event were presented with gift bags and a single red rose . A pretty soldier wearing army uniform holds up her masculine boots before changing into a long gown .","Soldiers took part in beauty parade to mark International Women's Day .
Stunning set of photographs were taken in Donetsk earlier today ."
125,US accusation ratchets up tensions as the Ukraine-Russia conflict hits its one-year mark this week.,US Accusation Escalates Ukraine Tensions
126,"Newcastle United hotshot Adam Armstrong scored the winner as England's under 18s beat Switzerland in a behind-closed-doors friendly at St George's Park. Armstrong popped up three minutes after half-time, firing home at the second attempt after Swiss goalkeeper Gregord Kobel blocked an initial one-on-one attempt. But Neil Dewsnip's team missed several good chances and the coach will hope they are more clinical when the two sides reconvene at Walsall's Banks's Stadium on Saturday. Newcastle United striker Adam Armstrong scored the winner as England's under 18s beat Switzerland . England coach Neil Dewsnip would be disappointed that England wasted a number of chances . It was a strong side that lined up at the England headquarters in Staffordshire, with Chelsea's Dominic Solanke, Liverpool's Sheyi Ojo and Everton's Ryan Ledson among the players on show. Dewsnip also handed international debuts to Sheffield United midfielder Louis Reed and Fulham goalkeeper Magnus Norman. And Norman was almost involved inside the first minute when Swiss forward Neftali Manzambi burst through, only to be denied by a last-ditch challenge by Manchester City's Tosin Adarabioyo. Gradually, England asserted themselves and Solanke, who trained with the first team the other day, was inches away from turning home a low Ojo cross. Ojo, the Liverpool prodigy currently out on loan at Wigan Athletic, was denied by Kobel shortly afterwards having been slipped clear by Solanke. The pressure was relentless and Reed, keen to make a positive impression, curled an effort just wide of the post after Southampton man Josh Sims and Armstrong combined to tee him up. Chelsea forward Dominic Solanke featured for England in their win at St George's Park . The busy Kobel was again tested in the dying seconds of the half, tipping Ojo's header over the crossbar following more good build-up work from Armstrong and Everton defender Jonjoe Kenny. After Armstrong finally made the breakthrough, England were able to relax a little but they continued to create chances at regular intervals. Ojo fired over the bar after more good work from the lively Armstrong and Kobel was called upon to deny Solanke, who made his Chelsea first-team debut earlier this season. Armstrong could have added a second after finding himself in an identical situation to his goal but on this occasion the goalkeeper saved. Tammy Abraham, who has featured in Chelsea's run to the FA Youth Cup final, came on for Solanke and nearly claimed his first England goal late on, only to fire inches wide. England play Switzerland at Walsall on Saturday (5.30pm). The Liverpool starlet Sheyi Ojo also featured in the friendly match at England's Staffordshire headquarters . England (4-1-2-1-2): Magnus Norman (Farnborough, on-loan from Fulham); Jonjoe Kenny (Everton), Tosin Adarabioyo (Manchester City), Taylor Moore (RC Lens), Callum Connolly (Everton); Ryan Ledson (C) (Everton); Louis Reed (Sheffield United), Josh Sims (Southampton); Sheyi Ojo (wigan Athletic, on-loan from Liverpool); Adam Armstrong (Newcastle United), Dominic Solanke (Chelsea) Substitutions: Jake Clarke-Salter (Chelsea) for Adarabioyo 45; Tammy Abraham (Chelsea) for Solanke 64; Josh Onomah (Tottenham) for Ojo 64; Ainsley Maitland-Niles (Arsenal) for Reed 81; Harry Chapman (Middlesbrough) for Sims 81 . Substitutes not used: Sam Howes (West Ham United); Max Lowe (Derby County); Kyle Walker-Peters (Tottenham); Luke Amos (Tottenham) Scorer: Armstrong 48 . Head coach: Neil Dewsnip . Switzerland: Gregord Kobel; Samir Bajrami (C), Mirlind Kryeziu, Adonis Ajeti, Linus Obexer; Neftali Manzambi, Remo Arnold, Noah Sylvestre, Bruno Ferreira Moragado; Boris Babic, Harun Alpsoy . Substitutions: Charly Pickel for Arnold 37; Nikola Gjorgjev for Manzambi 45; Roberto Eman Alves Oliveira for Ferreira Moragado 64; Kwando Duah for Alpsoy 64; Ivan Lurati for Ajeti 64; Stefan Bakalovic for Babic 81 . Substitutes not used: Mathieu Descloux, Simon Enzler . Head coach: Claude Ryf . SATURDAY FIXTURE . England U18 vs Switzerland . Bank's Stadium, Walsall . Saturday at 5.30pm .","Armstrong struck three minutes after the break at St George's Park .
England's Young Lions should have added to their tally .
Neil Dewsnip's side meet Switzerland again at Walsall on Saturday ."
127,"Gary and Phil Neville, Ryan Giggs, Nicky Butt and Paul Scholes will no doubt partying hard on Tuesday night after Salford City clinched the Evo-Stik League First Division North title, with the club gaining promotion on a very fitting 92 points. Title rivals Darlington 1883 could only draw 1-1 with Warrington Town, meaning the Manchester-based club won the title without having to kick a ball. The Evo-Stik League Northern Premier League is what awaits Salford, with the Conference North just one league above but they won't be playing local rivals FC United of Manchester next season after they gained promotion from the division. Philip Neville tweeted this photo of the team celebrating promotion with the caption: 'Party still going!!' Salford City clinched the Evo-Stik League First Division North title on a poignant 92 points . Salford City's players celebrate after Darlington's failure to win saw them win the league title on 92 points . Gary Neville (centre) and Paul Scholes watched Salford's last home match against Clitheroe Town . The Neville brothers both took to Twitter to express their delight at gaining promotion, with a few beers likely to be consumed over the week. Scholes and Gary were in attendance for Salford's victory against Clitheroe Town before they made made it eight wins on the bounce the following week away to Burscough. Salford knew that a 1883 win would take the title race to the final game of the season but they were unable to get the better of Warrington Town - handing the trophy to their rivals. Darlington's manager Martin Gray showed a real touch of class by personally calling Gary and joint-manager Anthony Johnson to congratulate them of their achievement. Following this, Phil showed the same sort of courtesy and wished Gray's side well in the play-off's. Salford clinched the title on a fitting 92 pointsand with one game to spare after their eight-game winning streak . The Class of '92 bought into the club last year and their investments have worked wonders, with the club earning instant success in their first full season at the helm. But recently the co-owners admitted that it wasn't all plain sailing after former manager Phil Power was sacked in January, with Phil conceding that were turning into something they had always said they wouldn't. The former Everton man said: ‘We had become the meddling owners, everything we didn’t want to be.' With the Football League just three more promotions away, Salford's fans and very famous owners can dream about that prospect. Some of the Class of '92 take in a pre-season friendly against Stalybridge Celtic in the summer . The Class of '92 stars will no doubt be delighted that their impact has produced such immediate success .","Salford City clinched the Evo-Stik League First Division North title .
Darlington 1883's failure to beat Warrington saw them win without playing .
Paul Scholes, Nicky Butt, Ryan Giggs and the Neville brothers are co-owners of the club and will be delighted with the instant success ."
